Month,IP Name,Number training partnerships/collaborations to be established
April,LEVA Foundation,0.0
May,LEVA Foundation,3.0
July,LEFA-Velle,5.0
August,LEFA-Velle,5.0
September,LEFA-Velle,5.0
October,LEFA-Velle,6.0
November,LEFA-Velle,9.0
December,LEFA-Velle,9.0
January,LEFA-Velle,9.0
February,LEFA-Velle,9.0
March,LEFA-Velle,9.0
April,LEFA-Velle,9.0
May,LEFA-Velle,75.0
July,Just Grace,0.0
August,Just Grace,0.0
September,Just Grace,0.0
October,Just Grace,0.0
November,Just Grace,0.0
December,Just Grace,3.0
January,Just Grace,1.0
February,Just Grace,2.0
March,Just Grace,0.0
April,Just Grace,0.0
May,Just Grace,6.0
July,I Protect Me,2.0
August,I Protect Me,1.0
September,I Protect Me,1.0
October,I Protect Me,5.0
November,I Protect Me,6.0
December,I Protect Me,7.0
January,I Protect Me,7.0
February,I Protect Me,6.0
March,I Protect Me,2.0
April,I Protect Me,
May,I Protect Me,37.0
July,Ikamva Youth,
August,Ikamva Youth,
September,Ikamva Youth,
October,Ikamva Youth,
November,Ikamva Youth,
December,Ikamva Youth,
January,Ikamva Youth,
February,Ikamva Youth,
March,Ikamva Youth,
April,Ikamva Youth,
May,Ikamva Youth,0.0
July,Ikamva Labantwana,2.0
August,Ikamva Labantwana,1.0
September,Ikamva Labantwana,1.0
October,Ikamva Labantwana,1.0
November,Ikamva Labantwana,1.0
December,Ikamva Labantwana,1.0
January,Ikamva Labantwana,1.0
February,Ikamva Labantwana,1.0
March,Ikamva Labantwana,1.0
April,Ikamva Labantwana,3.0
May,Ikamva Labantwana,13.0
July,Inclusive Education South Africa,0.0
August,Inclusive Education South Africa,0.0
September,Inclusive Education South Africa,0.0
October,Inclusive Education South Africa,0.0
November,Inclusive Education South Africa,0.0
December,Inclusive Education South Africa,0.0
January,Inclusive Education South Africa,0.0
February,Inclusive Education South Africa,0.0
March,Inclusive Education South Africa,0.0
April,Inclusive Education South Africa,0.0
May,Inclusive Education South Africa,0.0
July,Great Commission United,
August,Great Commission United,
September,Great Commission United,
October,Great Commission United,
November,Great Commission United,
December,Great Commission United,
January,Great Commission United,
February,Great Commission United,
March,Great Commission United,
April,Great Commission United,
May,Great Commission United,0.0
July,Education Without Borders,
August,Education Without Borders,1.0
September,Education Without Borders,1.0
October,Education Without Borders,
November,Education Without Borders,
December,Education Without Borders,0.0
January,Education Without Borders,0.0
February,Education Without Borders,
March,Education Without Borders,0.0
April,Education Without Borders,0.0
May,Education Without Borders,2.0
July,Centre for Social Development,
August,Centre for Social Development,
September,Centre for Social Development,
October,Centre for Social Development,
November,Centre for Social Development,
December,Centre for Social Development,
January,Centre for Social Development,
February,Centre for Social Development,
March,Centre for Social Development,
April,Centre for Social Development,
May,Centre for Social Development,0.0
July,Beautiful Gate South Africa,
August,Beautiful Gate South Africa,
September,Beautiful Gate South Africa,
October,Beautiful Gate South Africa,
November,Beautiful Gate South Africa,
December,Beautiful Gate South Africa,
January,Beautiful Gate South Africa,
February,Beautiful Gate South Africa,
March,Beautiful Gate South Africa,
April,Beautiful Gate South Africa,
May,Beautiful Gate South Africa,0.0
July,Axium Education,
August,Axium Education,
September,Axium Education,
October,Axium Education,
November,Axium Education,
December,Axium Education,
January,Axium Education,
February,Axium Education,
March,Axium Education,
April,Axium Education,
May,Axium Education,0.0
July,Awarenet,5.0
August,Awarenet,2.0
September,Awarenet,3.0
October,Awarenet,4.0
November,Awarenet,2.0
December,Awarenet,0.0
January,Awarenet,0.0
February,Awarenet,0.0
March,Awarenet,3.0
April,Awarenet,
May,Awarenet,19.0
July,Assumption Development Centre,3.0
August,Assumption Development Centre,3.0
September,Assumption Development Centre,3.0
October,Assumption Development Centre,2.0
November,Assumption Development Centre,2.0
December,Assumption Development Centre,2.0
January,Assumption Development Centre,2.0
February,Assumption Development Centre,2.0
March,Assumption Development Centre,2.0
April,Assumption Development Centre,2.0
May,Assumption Development Centre,23.0
July,Masinyusane Development Organization,
August,Masinyusane Development Organization,
September,Masinyusane Development Organization,
October,Masinyusane Development Organization,
November,Masinyusane Development Organization,
December,Masinyusane Development Organization,
January,Masinyusane Development Organization,
February,Masinyusane Development Organization,
March,Masinyusane Development Organization,
April,Masinyusane Development Organization,
May,Masinyusane Development Organization,0.0
July,Matlhogonolo Community Outreach Centre,2.0
August,Matlhogonolo Community Outreach Centre,3.0
September,Matlhogonolo Community Outreach Centre,1.0
October,Matlhogonolo Community Outreach Centre,2.0
November,Matlhogonolo Community Outreach Centre,1.0
December,Matlhogonolo Community Outreach Centre,1.0
January,Matlhogonolo Community Outreach Centre,1.0
February,Matlhogonolo Community Outreach Centre,0.0
March,Matlhogonolo Community Outreach Centre,0.0
April,Matlhogonolo Community Outreach Centre,0.0
May,Matlhogonolo Community Outreach Centre,11.0
